id,indra_time,browser_latency,reading_time,attention_esense,meditation_esense,signal_quality,createdAt,updatedAt,label,raw_len,raw_mean,raw_std,raw_min,raw_max,raw_median,raw_q05,raw_q95,raw_abs_mean,raw_clip_ratio,bp_delta,bp_theta,bp_low_alpha,bp_high_alpha,bp_low_beta,bp_high_beta,bp_low_gamma,bp_mid_gamma,split
1,2015-05-09 23:32:41.133,13405,2015-05-09 16:32:27.912,44,43,0,2015-05-09 23:32:14.562,2015-05-09 23:32:14.562+00,blink,512.0,46.240234375,35.321830934566066,-23.0,192.0,41.0,-2.0,110.34999999999997,47.173828125,0.0,18447.0,34948.0,11005.0,2221.0,6974.0,8380.0,1874.0,1951.0,val
13,2015-05-09 23:32:41.261,-278,2015-05-09 16:32:41.831,44,63,0,2015-05-09 23:32:42.185,2015-05-09 23:32:42.185+00,blink,512.0,29.1875,198.51016386132477,-520.0,727.0,45.0,-400.25,350.8999999999997,129.66015625,0.0,953397.0,58932.0,46412.0,44069.0,21491.0,84615.0,38932.0,19889.0,train
14,2015-05-09 23:32:41.377,722,2015-05-09 16:32:40.707,13,53,0,2015-05-09 23:32:40.046,2015-05-09 23:32:40.046+00,blink,512.0,52.765625,67.327700741295,-100.0,264.0,52.0,-55.9,167.14999999999992,67.83984375,0.0,1148767.0,326587.0,48782.0,26086.0,13479.0,13305.0,17069.0,11326.0,train
12,2015-05-09 23:32:41.449,1504,2015-05-09 16:32:40.063,41,63,0,2015-05-09 23:32:38.625,2015-05-09 23:32:38.625+00,blink,512.0,23.0390625,39.21099820676712,-129.0,119.0,26.0,-49.45,75.0,37.109375,0.0,31018.0,138844.0,52005.0,5671.0,5437.0,15167.0,8190.0,12306.0,test
6,2015-05-09 23:32:41.499,"-1,560",2015-05-09 16:32:43.252,53,4,0,2015-05-09 23:32:44.870,2015-05-09 23:32:44.87+00,blink,512.0,42.43359375,291.9788952607876,-893.0,939.0,59.0,-670.15,517.9999999999995,184.05859375,0.0,163222.0,72452.0,6629.0,4471.0,1762.0,5012.0,1703.0,1882.0,train
9,2015-05-09 23:32:41.565,10528,2015-05-09 16:32:31.332,17,44,0,2015-05-09 23:32:20.953,2015-05-09 23:32:20.953+00,blink,512.0,32.216796875,63.957702935142926,-180.0,217.0,26.5,-69.45,139.34999999999997,56.001953125,0.0,865095.0,1028530.0,30238.0,95986.0,28660.0,31350.0,23846.0,31982.0,train
15,2015-05-09 23:32:41.592,9861,2015-05-09 16:32:31.736,53,51,0,2015-05-09 23:32:22.529,2015-05-09 23:32:22.529+00,blink,512.0,39.595703125,53.39093933816734,-116.0,185.0,39.5,-44.35,138.89999999999998,53.068359375,0.0,275866.0,75596.0,18317.0,39693.0,9309.0,18624.0,1736.0,3908.0,train
2,2015-05-09 23:32:41.603,265,2015-05-09 16:32:41.470,44,69,0,2015-05-09 23:32:41.507,2015-05-09 23:32:41.507+00,blink,512.0,31.587890625,134.28385022588546,-354.0,537.0,38.0,-265.35,277.9,88.712890625,0.0,33718.0,29232.0,6732.0,11902.0,2496.0,12327.0,5465.0,8260.0,val
3,2015-05-09 23:32:41.621,14852,2015-05-09 16:32:26.794,26,51,0,2015-05-09 23:32:12.056,2015-05-09 23:32:12.056+00,blink,512.0,42.927734375,107.95112759741995,-252.0,359.0,52.5,-184.0,236.94999999999987,88.587890625,0.0,99150.0,45371.0,14132.0,32629.0,11719.0,5891.0,3916.0,985.0,test
8,2015-05-09 23:32:41.663,-38,2015-05-09 16:32:41.788,64,67,0,2015-05-09 23:32:41.895,2015-05-09 23:32:41.895+00,blink,512.0,45.349609375,38.0626134009465,-60.0,161.0,44.0,-15.349999999999998,107.0,49.251953125,0.0,741016.0,1068203.0,253428.0,112710.0,171571.0,138093.0,19539.0,13687.0,train
10,2015-05-09 23:32:41.816,-17,2015-05-09 16:32:41.855,69,48,0,2015-05-09 23:32:41.939,2015-05-09 23:32:41.939+00,blink,512.0,69.828125,339.0606476763919,-765.0,906.0,50.5,-336.7,771.8,273.6328125,0.0,1992879.0,53057.0,31592.0,9450.0,16050.0,14795.0,10951.0,7323.0,train
11,2015-05-09 23:32:41.922,-167,2015-05-09 16:32:42.172,37,57,0,2015-05-09 23:32:42.394,2015-05-09 23:32:42.394+00,blink,512.0,57.857421875,43.76460898492378,-119.0,176.0,54.5,-4.449999999999999,128.0,61.455078125,0.0,1740666.0,37150.0,7391.0,11563.0,15685.0,7908.0,11229.0,5310.0,val
